0	0	215	1	209
1	0	211	1	213
2	0	208	1	216
3	0	205	1	219
4	0	203	1	221
5	0	201	1	223
6	0	199	1	225
7	0	198	1	226
8	0	196	1	228
9	0	195	1	229
10	0	194	1	230
11	0	193	1	231
12	0	192	1	232
13	0	191	1	233
14	0	190	1	234
15	0	190	1	234
16	0	189	1	235
17	0	189	1	235
18	0	188	1	236
19	0	187	1	237
20	0	187	1	231
21	0	187	1	223
22	0	186	1	217
23	0	186	1	210
24	0	185	1	205
25	0	185	1	199
26	0	185	1	193
27	0	184	1	189
28	0	184	1	184
29	0	184	1	179
30	0	184	1	175
31	0	183	1	171
32	0	183	1	167
33	0	183	1	163
34	0	183	4	160
35	0	183	8	156
36	0	182	11	153
37	0	182	14	150
38	0	182	18	147
39	0	182	21	144
40	0	182	23	141
41	0	181	26	139
42	0	181	29	136
43	0	181	31	134
44	0	181	34	131
45	0	181	36	129
46	0	181	38	126
47	0	181	40	124
48	1	181	42	122
49	4	180	41	121
50	7	180	40	119
51	9	180	39	117
52	12	180	38	115
53	14	180	38	113
54	17	180	37	111
55	19	180	37	109
56	21	180	36	108
57	23	180	36	106
58	25	180	35	104
59	27	179	35	104
60	29	179	34	102
61	31	179	34	101
62	33	179	33	99
63	35	179	32	98
64	37	179	32	97
65	39	179	31	95
66	40	179	31	94
67	42	179	30	93
68	43	179	31	92
69	45	179	30	90
70	0	214	1	210
71	0	210	1	214
72	0	207	1	217
73	0	205	1	219
74	0	202	1	222
75	0	200	1	224
76	0	199	1	225
77	0	197	1	227
78	0	196	1	228
79	0	195	1	229
80	0	194	1	230
81	0	193	1	231
82	0	192	1	232
83	0	191	1	233
84	0	190	1	234
85	0	190	1	234
86	0	189	1	235
87	0	188	1	236
88	0	188	1	236
89	0	187	1	237
90	0	187	1	229
91	0	186	1	222
92	0	186	1	215
93	0	186	1	209
94	0	185	1	204
95	0	185	1	198
96	0	185	1	192
97	0	184	1	188
98	0	184	1	183
99	0	184	1	178
100	0	184	1	174
101	0	183	3	170
102	0	183	7	166
103	0	183	10	162
104	0	183	14	159
105	0	182	17	156
106	0	182	20	153
107	0	182	23	149
108	0	182	26	146
109	0	182	29	143
110	0	182	32	140
111	0	181	34	138
112	0	181	37	136
113	0	181	39	133
114	0	181	41	131
115	0	181	43	128
116	3	181	43	126
117	6	181	42	124
118	9	180	41	122
119	11	180	40	120
120	14	180	39	118
121	16	180	39	116
122	19	180	38	114
123	21	180	38	112
124	23	180	37	111
125	26	180	36	109
126	28	180	35	107
127	30	180	35	106
128	32	180	34	104
129	34	179	34	103
130	36	179	33	102
131	37	179	33	100
132	39	179	33	99
133	41	179	32	98
134	43	179	31	96
135	44	179	31	95
136	46	179	31	94
137	47	179	31	92
138	49	179	30	91
139	50	179	30	90
140	0	213	1	211
141	0	209	1	215
142	0	206	1	218
143	0	204	1	220
144	0	202	1	222
145	0	200	1	224
146	0	198	1	226
147	0	197	1	227
